Titles,List of Authors,Citations,PMIDs,Abstract Snippets
"
              
                Are neuromodulation interventions associated with changes in the gut microbiota? A systematic review.
              
            ","Korenblik V, Brouwer ME, Korosi A, Denys D, Bockting CLH, Brul S, Lok A.",Neuropharmacology. 2023 Feb 1;223:109318. doi: 10.1016/j.neuropharm.2022.109318. Epub 2022 Nov 9.,36334762,"
              The microbiota-gut-brain axis (MGBA) refers to the bidirectional communication between the brain and the gut microbiota and recent studies have linked the MGBA to health and disease. ...More research is required to more conclusively establish wh …
            "
"
              
                Gut feelings: associations of emotions and emotion regulation with the gut microbiome in women.
              
            ","Ke S, Guimond AJ, Tworoger SS, Huang T, Chan AT, Liu YY, Kubzansky LD.",Psychol Med. 2023 Nov;53(15):7151-7160. doi: 10.1017/S0033291723000612. Epub 2023 Mar 21.,36942524,"
              BACKGROUND: Accumulating evidence suggests that positive and negative emotions, as well as emotion regulation, play key roles in human health and disease. Recent work has shown the gut microbiome is important in modulating mental and physical health …
            "
"
              
                The change of gut microbiota in MDD patients under SSRIs treatment.
              
            ","Shen Y, Yang X, Li G, Gao J, Liang Y.",Sci Rep. 2021 Jul 21;11(1):14918. doi: 10.1038/s41598-021-94481-1.,34290352,"
              The alterations in the gut microbiota have been reported to be correlated with the development of depression. ...The metabolic function of gut microbiota after treatment was still different from that of the control group. ...
            "
"
              
                Accelerometer-based sleep metrics and gut microbiota during adolescence: Association findings from a Brazilian population-based birth cohort.
              
            ","Carpena MX, Barros AJ, Comelli EM, López-Domínguez L, Alves ED, Wendt A, Crochemore-Silva I, Bandsma RH, Santos IS, Matijasevich A, Borges MC, Tovo-Rodrigues L.",Sleep Med. 2024 Feb;114:203-209. doi: 10.1016/j.sleep.2023.12.028. Epub 2024 Jan 5.,38219656,"
              BACKGROUND: Sleep and gut microbiota are emerging putative risk factors for several physical, mental, and cognitive conditions. ...CONCLUSION: Our results suggest that sleep duration and efficiency are linked to gut microbiota diversity a …
            "
"
              
                Gut microbiome in atypical depression.
              
            ","Busch A, Roy S, Helbing DL, Colic L, Opel N, Besteher B, Walter M, Bauer M, Refisch A.",J Affect Disord. 2024 Mar 15;349:277-285. doi: 10.1016/j.jad.2024.01.060. Epub 2024 Jan 9.,38211751,"
              BACKGROUND: Recent studies showed that immunometabolic dysregulation is related to unipolar major depressive disorder (MDD) and that it more consistently maps to MDD patients endorsing an atypical symptom profile, characterized by energy-related symptoms including increased appet …
            "
"
              
                Emotional well-being and gut microbiome profiles by enterotype.
              
            ","Lee SH, Yoon SH, Jung Y, Kim N, Min U, Chun J, Choi I.",Sci Rep. 2020 Nov 26;10(1):20736. doi: 10.1038/s41598-020-77673-z.,33244049,"
              With increasing attention being paid to improving emotional well-being, recent evidence points to gut microbiota as a key player in regulating mental and physical health via bidirectional communication between the brain and gut. ...Together, the …
            "
"
              
                Association between gut microbiota dysbiosis and poor functional outcomes in acute ischemic stroke patients with COVID-19 infection.
              
            ","Chen J, Gao X, Liang J, Wu Q, Shen L, Zheng Y, Ma Y, Peng Y, He Y, Yin J.",mSystems. 2024 May 3:e0018524. doi: 10.1128/msystems.00185-24. Online ahead of print.,38700338,"
              However, the association between gut microbiota and functional outcomes among AIS patients with COVID-19 infection has not been fully clarified yet. ...Our findings highlight the importance of early intervention after COVID-19 infection, especially by regulating the …
            "
"
              
                Review article: bugs, inflammation and mood-a microbiota-based approach to psychiatric symptoms in inflammatory bowel diseases.
              
            ","Thomann AK, Mak JWY, Zhang JW, Wuestenberg T, Ebert MP, Sung JJY, Bernstein ÇN, Reindl W, Ng SC.",Aliment Pharmacol Ther. 2020 Jul;52(2):247-266. doi: 10.1111/apt.15787. Epub 2020 Jun 11.,32525605,"
              AIM: To review the literature on microbiota-brain-gut interactions in gut inflammation, psychosocial stress and mental disorders and to discuss the putative mediating role of gut microbiota in the development of psychiatric symptoms or co …
            "
"
              
                A key role of the subdiaphragmatic vagus nerve in the depression-like phenotype and abnormal composition of gut microbiota in mice after lipopolysaccharide administration.
              
            ","Zhang J, Ma L, Chang L, Pu Y, Qu Y, Hashimoto K.",Transl Psychiatry. 2020 Jun 9;10(1):186. doi: 10.1038/s41398-020-00878-3.,32518376,"
              The vagus nerve plays a role in the cross talk between the brain and gut microbiota, which could be involved in depression. The subdiaphragmatic vagus nerve serves as a major modulatory pathway between the brain and gut microbiota. ...Our results sugge …
            "
"
              
                Current Diagnostic and Treatment Methods of Alzheimer's Disease: A Narrative Review.
              
            ","Dafre R, Wasnik P Sr.",Cureus. 2023 Sep 20;15(9):e45649. doi: 10.7759/cureus.45649. eCollection 2023 Sep.,37868425,"
              Most Alzheimer's patients' causes are still unclear, except for instances where hereditary variations have been noted. The gut microbiota composition significantly influences AD and any age-associated neurological illness. Therapies are very useful in improving the …
            "
"
              
                Gut-microbiota-brain axis in the vulnerability to psychosis in adulthood after repeated cannabis exposure during adolescence.
              
            ","Wan X, Eguchi A, Qu Y, Yang Y, Chang L, Shan J, Mori C, Hashimoto K.",Eur Arch Psychiatry Clin Neurosci. 2022 Oct;272(7):1297-1309. doi: 10.1007/s00406-022-01437-1. Epub 2022 Jun 6.,35666299,"
              In contrast, there were no changes in blood levels of pro-inflammatory cytokines between the two groups. Although alpha-diversity and beta-diversity of gut microbiota were no differences between the two groups, there were several microbes altered betwe …
            "
"
              
                Production of Psychoactive Metabolites by Gut Bacteria.
              
            ","Wiley NC, Cryan JF, Dinan TG, Ross RP, Stanton C.",Mod Trends Psychiatry. 2021;32:74-99. doi: 10.1159/000510419. Epub 2021 May 6.,34032647,"
              Therefore, therapeutic targeting of the gut microbiota has the potential to be useful in the treatment of both stress-related disorders and metabolic diseases. An important method by which the gut microbiome can influence the gut-brain axis is t …
            "
"
              
                Impacts of breast cancer and chemotherapy on gut microbiome, cognitive functioning, and mood relative to healthy controls.
              
            ","Bilenduke E, Sterrett JD, Ranby KW, Borges VF, Grigsby J, Carr AL, Kilbourn K, Lowry CA.",Sci Rep. 2022 Nov 15;12(1):19547. doi: 10.1038/s41598-022-23793-7.,36380060,"
              Women diagnosed with breast cancer undergoing chemotherapy experience cognitive impairment, symptoms of anxiety and depression, and physical side effects including disruption in the diversity and community composition of the gut microbiome. To date, there is …
            "
"
              
                Altered gut microbiota profile in patients with perimenopausal panic disorder.
              
            ","Lin S, Wang H, Qiu J, Li M, Gao E, Wu X, Xu Y, Chen G.",Front Psychiatry. 2023 May 25;14:1139992. doi: 10.3389/fpsyt.2023.1139992. eCollection 2023.,37304433,"
              RESULTS: The results showed reduced alpha-diversity (richness) in the gut microbiota of PPD patients. beta-diversity indicated that PPD and healthy controls had different intestinal microbiota compositions. ...The distinct gut microbio …
            "
"
              
                The Gut-Brain Axis, Including the Microbiome, Leaky Gut and Bacterial Translocation: Mechanisms and Pathophysiological Role in Alzheimer's Disease.
              
            ","Köhler CA, Maes M, Slyepchenko A, Berk M, Solmi M, Lanctôt KL, Carvalho AF.",Curr Pharm Des. 2016;22(40):6152-6166. doi: 10.2174/1381612822666160907093807.,27604604,"
              Abeta then triggers an immune response that drives neuroinflammation and neurodegeneration in AD. The specific role of gut microbiota in modulating neuro-immune functions well beyond the gastrointestinal tract may constitute an important influence on the proc …
            "
"
              
                Childhood appendectomy and adult mental disorders: A population-based cohort study.
              
            ","Ekström LD, Ekström H, Dal H, Kosidou K, Gustafsson UO.",Depress Anxiety. 2020 Nov;37(11):1108-1117. doi: 10.1002/da.23045. Epub 2020 Jul 15.,32668089,"
              BACKGROUND: Recent studies suggest that disruption of the colonic microbiota homeostasis is associated with low-grade systemic inflammation and mental disorders. The cecal appendix may influence the homeostasis of the colonic microbiota. In this large populat …
            "
"
              
                Characterizing the gut microbiota in adults with bipolar disorder: a pilot study.
              
            ","McIntyre RS, Subramaniapillai M, Shekotikhina M, Carmona NE, Lee Y, Mansur RB, Brietzke E, Fus D, Coles AS, Iacobucci M, Park C, Potts R, Amer M, Gillard J, James C, Anglin R, Surette MG.",Nutr Neurosci. 2021 Mar;24(3):173-180. doi: 10.1080/1028415X.2019.1612555. Epub 2019 May 28.,31132957,"
              Background: Convergent evidence implicates gut microbiota in human health and disease. Hitherto, relatively few studies have evaluated the gut microbiota profile in individuals with bipolar disorder (BD) relative to healthy controls (HC). ...Con …
            "
"
              
                Fungal Forces in Mental Health: Microbial Meddlers or Function Fixers?
              
            ",Severance EG.,Curr Top Behav Neurosci. 2023;61:163-179. doi: 10.1007/7854_2022_364.,35543867,"
              In the mental health field, the gut-brain axis and associated pathways represent putative mechanisms by which gastrointestinal (GI) microbes and their gene products and metabolites can access and influence the central nervous system (CNS). ...Here I ai …
            "
"
              
                Association Between Non-Suicidal Self-Injury and Gut Microbial Characteristics in Chinese Adolescent.
              
            ","Cai LF, Wang SB, Hou CL, Li ZB, Liao YJ, Jia FJ.",Neuropsychiatr Dis Treat. 2022 Jul 1;18:1315-1328. doi: 10.2147/NDT.S360588. eCollection 2022.,35799798,"
              Bacteroides were the dominant flora of the KD and NOR2, while Mitsuokella was the dominant flora that distinguished the KD from the NOR2. CONCLUSION: We found that gut microbiota diversity was decreased in adolescents with NSSI, and the relative abundance was …
            "
"
              
                Impact of chronic exposure to the ionic liquid ([C8mim][PF6]) on intestinal physical barrier, immunological barrier and gut microbiota in common carp (Cyprinus carpio L.).
              
            ","Chang X, Liu P, Feng J, Su X, Huang M, Chen Y, Zhang J, Li B.",Environ Res. 2020 Oct;189:109919. doi: 10.1016/j.envres.2020.109919. Epub 2020 Jul 14.,32980010,"
              Moreover, ([C8mim][PF6]) exposure was also found to significantly reduce gut microbial diversity and alter microbial community structure in common carp. Collectively, our study highlighted that exposure to ([C8mim][PF6]) could disrupt intestinal physical barrier, im …
            "
"
              
                Association Between Gut Microbiome and Frailty in the Older Adult Population in Korea.
              
            ","Lim MY, Hong S, Kim JH, Nam YD.",J Gerontol A Biol Sci Med Sci. 2021 Jul 13;76(8):1362-1368. doi: 10.1093/gerona/glaa319.,33437992,"
              Frailty is a common geriatric syndrome associated with the risk of adverse health outcomes. Recently, 2 key pathophysiological characteristics of frailty, altered energy metabolism and dysregulated immunity, have been reported to be associated with gut microbiome …
            "
"
              
                Mind and gut: Associations between mood and gastrointestinal distress in children exposed to adversity.
              
            ","Callaghan BL, Fields A, Gee DG, Gabard-Durnam L, Caldera C, Humphreys KL, Goff B, Flannery J, Telzer EH, Shapiro M, Tottenham N.",Dev Psychopathol. 2020 Feb;32(1):309-328. doi: 10.1017/S0954579419000087.,30919798,"
              Gastrointestinal and mental disorders are highly comorbid, and animal models have shown that both can be caused by early adversity (e.g., parental deprivation). ...Implications of these data for supporting youth mental health are discussed....
            "
"
              
                Gut Microbiota Changes in Patients with Bipolar Depression.
              
            ","Hu S, Li A, Huang T, Lai J, Li J, Sublette ME, Lu H, Lu Q, Du Y, Hu Z, Ng CH, Zhang H, Lu J, Mou T, Lu S, Wang D, Duan J, Hu J, Huang M, Wei N, Zhou W, Ruan L, Li MD, Xu Y.",Adv Sci (Weinh). 2019 May 15;6(14):1900752. doi: 10.1002/advs.201900752. eCollection 2019 Jul 17.,31380217,"
              This study aims to characterize the gut microbiota in depressed patients with bipolar disorder (BD) compared with healthy controls (HCs), to examine the effects of quetiapine treatment on the microbiota, and to explore the potential of microbiota as a …
            "
"
              
                Emerging role of the host microbiome in neuropsychiatric disorders: overview and future directions.
              
            ",Hashimoto K.,Mol Psychiatry. 2023 Sep;28(9):3625-3637. doi: 10.1038/s41380-023-02287-6. Epub 2023 Oct 16.,37845499,"
              The human body harbors a diverse ecosystem of microorganisms, including bacteria, viruses, and fungi, collectively known as the microbiota. ...The gut microbiota in the gastrointestinal tract has received particular attention due to its high abu …
            "
"
              
                Autoimmune diseases, gastrointestinal disorders and the microbiome in schizophrenia: more than a gut feeling.
              
            ","Severance EG, Yolken RH, Eaton WW.",Schizophr Res. 2016 Sep;176(1):23-35. doi: 10.1016/j.schres.2014.06.027. Epub 2014 Jul 15.,25034760,"
              Such processes trigger innate immunity, including activation of complement C1q, which also functions at synapses in the brain. The emerging field of microbiome research lies at the center of these interactions with evidence that the abundance and diversity of reside …
            "
"
              
                Dietary Fat Effect on the Gut Microbiome, and Its Role in the Modulation of Gastrointestinal Disorders in Children with Autism Spectrum Disorder.
              
            ","Kittana M, Ahmadani A, Al Marzooq F, Attlee A.",Nutrients. 2021 Oct 27;13(11):3818. doi: 10.3390/nu13113818.,34836074,"
              Emerging evidence supports the biological intersection of neurodevelopment and microbiome, indicating the integral contribution of GM in the development and function of the nervous system, and mental health, and disease balance. ...Additionally, omega-3 exert …
            "
"
              
                Gut microbial changes of patients with psychotic and affective disorders: A systematic review.
              
            ","Vindegaard N, Speyer H, Nordentoft M, Rasmussen S, Benros ME.",Schizophr Res. 2021 Aug;234:1-10. doi: 10.1016/j.schres.2019.12.014. Epub 2020 Jan 14.,31952911,"
              BACKGROUND: Many diverse inflammatory pathophysiologic mechanisms have been linked to mental disorders, and through the past decade an increasing interest in the gut microbiota and its relation to mental health has been arising. We aimed …
            "
"
              
                Comparison of gut microbiome profile in patients with schizophrenia and healthy controls - A plausible non-invasive biomarker?
              
            ","Gokulakrishnan K, Nikhil J, Viswanath B, Thirumoorthy C, Narasimhan S, Devarajan B, Joseph E, David AKD, Sharma S, Vasudevan K, Sreeraj VS, Holla B, Shivakumar V, Debnath M, Venkatasubramanian G, Varambally S.",J Psychiatr Res. 2023 Jun;162:140-149. doi: 10.1016/j.jpsychires.2023.05.021. Epub 2023 May 2.,37156128,"
              The human gut microbiome regulates brain function through the microbiome-gut-brain axis and is implicated in several neuropsychiatric disorders. ...We aim to study the differences in the gut microbiota among drug-naive (DN SCZ) and risper …
            "
"
              
                Gut microbiome characteristics in subjective cognitive decline, mild cognitive impairment and Alzheimer's disease: a systematic review and meta-analysis.
              
            ","Chen G, Zhou X, Zhu Y, Shi W, Kong L.",Eur J Neurol. 2023 Nov;30(11):3568-3580. doi: 10.1111/ene.15961. Epub 2023 Jul 30.,37399128,"
              BACKGROUND AND PURPOSE: The gut microbiome has been reported to be closely related to Alzheimer's disease (AD) progression. ...METHODS: A total of 10 databases (CNKI, WanFang, VIP, SinoMed, WOS, PubMed, Embase, Cochrane Library, PsycINFO and Void) were searched and …
            "
"
              
                Exploring the interplay between posttraumatic stress disorder, gut microbiota, and inflammatory biomarkers: a comprehensive meta-analysis.
              
            ","Petakh P, Oksenych V, Kamyshna I, Boisak I, Lyubomirskaya K, Kamyshnyi O.",Front Immunol. 2024 Feb 12;15:1349883. doi: 10.3389/fimmu.2024.1349883. eCollection 2024.,38410510,"
              INTRODUCTION: Posttraumatic stress disorder (PTSD) is the most common mental health disorder to develop following exposure to trauma. Studies have reported conflicting results regarding changes in immune biomarkers and alterations in the abundance of bacterial taxa …
            "
"
              
                Relationship Between the Fecal Microbiota and Depression and Anxiety in Pediatric Patients With Orthostatic Intolerance.
              
            ","Ishii W, Komine-Aizawa S, Takano C, Fujita Y, Morioka I, Hayakawa S.",Prim Care Companion CNS Disord. 2019 Apr 11;21(2):18m02401. doi: 10.4088/PCC.18m02401.,30995366,"
              The objective of this study was to investigate the intestinal microbiota and its involvement in the mental health of children with OI. ...The intestinal flora can serve as a novel therapeutic target for the mental health management of intractabl …
            "
"
              
                Neuromicrobiology, an emerging neurometabolic facet of the gut microbiome?
              
            ","Miri S, Yeo J, Abubaker S, Hammami R.",Front Microbiol. 2023 Jan 17;14:1098412. doi: 10.3389/fmicb.2023.1098412. eCollection 2023.,36733917,"
              Appreciable evidence shows that gut microbiota produce diverse neuroactive metabolites, particularly neurotransmitters (and their precursors), stimulating the local nervous system (i.e., enteric and vagus nerves) and affecting brain function and cognition. .. …
            "
"
              
                Regulation of Gut Microbiota by Herbal Medicines.
              
            ","Shinde Y, Deokar G.",Curr Drug Metab. 2024 Apr 2. doi: 10.2174/0113892002287336240328083220. Online ahead of print.,38571357,"
              Preserving host health and homeostasis is largely dependent on the human gut microbiome, a varied and ever-changing population of bacteria living in the gastrointestinal tract. ...Through a comprehensive overview, we aim to provide insights into the in …
            "
"
              
                Gut-Thyroid axis: How gut microbial dysbiosis associated with euthyroid thyroid cancer.
              
            ","Ishaq HM, Mohammad IS, Hussain R, Parveen R, Shirazi JH, Fan Y, Shahzad M, Hayat K, Li H, Ihsan A, Muhammad KS, Usman M, Zhang S, Yuan L, Ullah S, Paiva-Santos AC, Xu J.",J Cancer. 2022 Mar 28;13(6):2014-2028. doi: 10.7150/jca.66816. eCollection 2022.,35399732,"
              High-throughput sequencing of V3+V4 region of 16S rRNA gene was performed on Hiseq 2500 platform on 20 (10 healthy & 10 diseased subjects) randomly selected fecal samples. The richness indices and comparative diversity analysis showed significant gut microbial m …
            "
"
              
                Infant microbiota in colic: predictive associations with problem crying and subsequent child behavior.
              
            ","Loughman A, Quinn T, Nation ML, Reichelt A, Moore RJ, Van TTH, Sung V, Tang MLK.",J Dev Orig Health Dis. 2021 Apr;12(2):260-270. doi: 10.1017/S2040174420000227. Epub 2020 Apr 13.,32279681,"
              Infant colic is a condition of unknown cause which can result in carer distress and attachment difficulties. Recent studies have implicated the gut microbiota in infant colic, and certain probiotics have demonstrated possible efficacy. ...In addition, we used random …
            "
"
              
                Short-chain fatty and carboxylic acid changes associated with fecal microbiota transplant communally influence microglial inflammation.
              
            ","Churchward MA, Michaud ER, Mullish BH, Miguens Blanco J, Garcia Perez I, Marchesi JR, Xu H, Kao D, Todd KG.",Heliyon. 2023 Jun 5;9(6):e16908. doi: 10.1016/j.heliyon.2023.e16908. eCollection 2023 Jun.,37484415,"
              The intestinal microbiota has been proposed to influence human mental health and cognition through the gut-brain axis. ...Short-chain fatty acids and carboxylic acids (SCCA) produced by the intestinal microbiota cross the blood brain barrier and …
            "
"
              
                Gut microbiota composition is associated with temperament traits in infants.
              
            ","Aatsinki AK, Lahti L, Uusitupa HM, Munukka E, Keskitalo A, Nolvi S, O'Mahony S, Pietilä S, Elo LL, Eerola E, Karlsson H, Karlsson L.",Brain Behav Immun. 2019 Aug;80:849-858. doi: 10.1016/j.bbi.2019.05.035. Epub 2019 May 24.,31132457,"
              BACKGROUND: One of the key behavioral phenotypes in infancy are different temperament traits, and certain early life temperament traits have been shown to precede later mental health problems. Differences in the gut microbiota composition (GMC) have be …
            "
"
              
                Prophylactic Effect of Bovine Colostrum on Intestinal Microbiota and Behavior in Wild-Type and Zonulin Transgenic Mice.
              
            ","Asbjornsdottir B, Miranda-Ribera A, Fiorentino M, Konno T, Cetinbas M, Lan J, Sadreyev RI, Gudmundsson LS, Gottfredsson M, Lauth B, Birgisdottir BE, Fasano A.",Biomedicines. 2022 Dec 29;11(1):91. doi: 10.3390/biomedicines11010091.,36672598,"
              The microbiota-gut-brain axis (MGBA) involves bidirectional communication between intestinal microbiota and the gastrointestinal (GI) tract, central nervous system (CNS), neuroendocrine/neuroimmune systems, hypothalamic-pituitary-adrenal (HPA) axis, an …
            "
"
              
                From Family Surroundings to Intestinal Flora, A Literature Review Concerning Epigenetic Processes in Psychiatric Disorders.
              
            ","Dubois T, Reynaert C, Jacques D, Lepiece B, Zdanowicz N.",Psychiatr Danub. 2020 Sep;32(Suppl 1):158-163.,32890382,"
              Negative environment is correlated with different epigenetic modifications in genes implicated in mental health. Gut microbiota diversity affect host epigenetic. Animal studies showed evidences for a transgenerational transmission of epigenetic …
            "
"
              
                Role of the gut microbiome in three major psychiatric disorders.
              
            ","Borkent J, Ioannou M, Laman JD, Haarman BCM, Sommer IEC.",Psychol Med. 2022 May;52(7):1222-1242. doi: 10.1017/S0033291722000897. Epub 2022 May 4.,35506416,"
              Major depressive disorder (MDD), bipolar disorder (BD) and schizophrenia-spectrum disorders (SSD) are heterogeneous psychiatric disorders, which place significant burden on patient's well-being and global health. Disruptions in the gut-microbiome may play a r …
            "
"
              
                Association between antibiotics and gut microbiome dysbiosis in children: systematic review and meta-analysis.
              
            ","McDonnell L, Gilkes A, Ashworth M, Rowland V, Harries TH, Armstrong D, White P.",Gut Microbes. 2021 Jan-Dec;13(1):1-18. doi: 10.1080/19490976.2020.1870402.,33651651,"
              Antibiotics in childhood have been linked with diseases including asthma, juvenile arthritis, type 1 diabetes, Crohn's disease and mental illness. The underlying mechanisms are thought related to dysbiosis of the gut microbiome. ...Eligible studies: associati …
            "
"
              
                Dietary supplements in neurological diseases and brain aging.
              
            ","Naureen Z, Dhuli K, Medori MC, Caruso P, Manganotti P, Chiurazzi P, Bertelli M.",J Prev Med Hyg. 2022 Oct 17;63(2 Suppl 3):E174-E188. doi: 10.15167/2421-4248/jpmh2022.63.2S3.2759. eCollection 2022 Jun.,36479494,"
              A healthy diet shapes a healthy mind. Diet quality has a strong association with brain health. Diet influences the onset and consequences of neurological diseases, and dietary factors may influence mental health at individual and population level. ...The so-c …
            "
"
              
                Probiotic consumption relieved human stress and anxiety symptoms possibly via modulating the neuroactive potential of the gut microbiota.
              
            ","Ma T, Jin H, Kwok LY, Sun Z, Liong MT, Zhang H.",Neurobiol Stress. 2021 Jan 12;14:100294. doi: 10.1016/j.ynstr.2021.100294. eCollection 2021 May.,33511258,"
              Stress has been shown to disturb the balance of human intestinal microbiota and subsequently causes mental health problems like anxiety and depression. ...Our results showed a potential link between probiotic-induced gut microbiota modulation an …
            "
"
              
                Environmental factors shaping the gut microbiome in a Dutch population.
              
            ","Gacesa R, Kurilshikov A, Vich Vila A, Sinha T, Klaassen MAY, Bolte LA, Andreu-Sánchez S, Chen L, Collij V, Hu S, Dekens JAM, Lenters VC, Björk JR, Swarte JC, Swertz MA, Jansen BH, Gelderloos-Arends J, Jankipersadsing S, Hofker M, Vermeulen RCH, Sanna S, Harmsen HJM, Wijmenga C, Fu J, Zhernakova A, Weersma RK.",Nature. 2022 Apr;604(7907):732-739. doi: 10.1038/s41586-022-04567-7. Epub 2022 Apr 13.,35418674,"
              The gut microbiome is associated with diverse diseases(1-3), but a universal signature of a healthy or unhealthy microbiome has not been identified, and there is a need to understand how genetics, exposome, lifestyle and diet shape the microbiome …
            "
"
              
                Gut and oral microbiota associations with viral mitigation behaviors during the COVID-19 pandemic.
              
            ","Li K, Methé BA, Fitch A, Gentry H, Kessinger C, Patel A, Petraglia V, Swamy P, Morris A.",Front Cell Infect Microbiol. 2022 Sep 9;12:966361. doi: 10.3389/fcimb.2022.966361. eCollection 2022.,36159641,"
              Other impacts on the microbiota and host mental and physical health status associations from these measures are also not well-studied. ...Collectively, our study identified that stool and saliva microbiota from the pre-pandemic to early pandemic period …
            "
"
              
                PROVIT: Supplementary Probiotic Treatment and Vitamin B7 in Depression-A Randomized Controlled Trial.
              
            ","Reininghaus EZ, Platzer M, Kohlhammer-Dohr A, Hamm C, Mörkl S, Bengesser SA, Fellendorf FT, Lahousen-Luxenberger T, Leitner-Afschar B, Schöggl H, Amberger-Otti D, Wurm W, Queissner R, Birner A, Falzberger VS, Painold A, Fitz W, Wagner-Skacel J, Brunnmayr M, Rieger A, Maget A, Unterweger R, Schwalsberger K, Reininghaus B, Lenger M, Bastiaanssen TFS, Dalkner N.",Nutrients. 2020 Nov 8;12(11):3422. doi: 10.3390/nu12113422.,33171595,"
              Gut microbiota are suspected to affect brain functions and behavior as well as lowering inflammation status. ...Furthermore, the finding of upregulated vitamin B6 and B7 synthesis underlines the connection between the quality of diet, gut microbiota an …
            "
"
              
                The role of inflammation in irritable bowel syndrome (IBS).
              
            ","Ng QX, Soh AYS, Loke W, Lim DY, Yeo WS.",J Inflamm Res. 2018 Sep 21;11:345-349. doi: 10.2147/JIR.S174982. eCollection 2018.,30288077,"
              Irritable bowel syndrome (IBS) is a complex, functional gastrointestinal disorder characterized by chronic abdominal pain or discomfort and altered bowel habits. ...This review thus aimed to discuss the body of evidence pertaining to the presence of mucosal inflammation in …
            "
"
              
                The Microbiota-Gut-Brain Axis in Mental Health and Medication Response: Parsing Directionality and Causality.
              
            ","Bastiaanssen TFS, Cryan JF.",Int J Neuropsychopharmacol. 2021 Mar 17;24(3):216-220. doi: 10.1093/ijnp/pyaa088.,33693884,"
              There is increasing evidence for the role of the microbiome in various mental health disorders. Moreover, there has been a growing understanding of the importance of the microbiome in mediating both the efficacy and side effects of various medications, …
            "
"
              
                The Microbiome and Mental Health Across the Lifespan.
              
            ","Dickerson F, Dilmore AH, Godoy-Vitorino F, Nguyen TT, Paulus M, Pinto-Tomas AA, Moya-Roman C, Zuniga-Chaves I, Severance EG, Jeste DV.",Curr Top Behav Neurosci. 2023;61:119-140. doi: 10.1007/7854_2022_384.,35947353,"
              The objective was to discuss the emerging relationship between the human microbiome and mental health as relevant to ACNP's interests in developing and evaluating novel neuropsychiatric treatment strategies. ...While still in its infancy, research to date ind …
            "
"
              
                Plant-based diets and the gut microbiome: findings from the Baltimore Longitudinal Study of Aging.
              
            ","Shen X, Tilves C, Kim H, Tanaka T, Spira AP, Chia CW, Talegawkar SA, Ferrucci L, Mueller NT.",Am J Clin Nutr. 2024 Mar;119(3):628-638. doi: 10.1016/j.ajcnut.2024.01.006. Epub 2024 Jan 12.,38218318,"
              BACKGROUND: Mounting evidence indicates that although some plant-based diets are healthful, others are not. Changes in the gut microbiome and microbiome-dependent metabolites, such as trimethylamine N-oxide (TMAO), may explain differential health effec …
            "
"
              
                Gut mycobiota dysbiosis in drug-naive, first-episode schizophrenia.
              
            ","Yuan X, Li X, Kang Y, Pang L, Hei G, Zhang X, Wang S, Zhao X, Zhang S, Tao Q, Zhang L, Zhu Q, Lv L, Fan X, Hu S, Song X.",Schizophr Res. 2022 Dec;250:76-86. doi: 10.1016/j.schres.2022.10.011. Epub 2022 Nov 9.,36370535,"
              We recruited 205 SCH patients and 125 healthy controls (HCs), whose gut bacterial and fungal compositions were characterized by 16S and 18S ribosomal RNA gene amplicon sequencing, respectively. ...SCH patients also showed a significantly lower fungi-to-bacteria alpha-di …
            "
"
              
                Abnormalities in the composition of the gut microbiota in mice after repeated administration of DREADD ligands.
              
            ","Guo W, Wan X, Ma L, Zhang J, Hashimoto K.",Brain Res Bull. 2021 Aug;173:66-73. doi: 10.1016/j.brainresbull.2021.05.012. Epub 2021 May 15.,34004259,"
              In this study, we investigated whether repeated administration of CNO or C21 could influence the gut microbiota and short-chain fatty acids (SCFAs) in feces of adult mice. ...The data suggest that repeated administration of CNO or C21 contributes to an unusual organ …
            "
"
              
                An empirically derived method for measuring human gut microbiome alpha diversity: Demonstrated utility in predicting health-related outcomes among a human clinical sample.
              
            ","Hagerty SL, Hutchison KE, Lowry CA, Bryan AD.",PLoS One. 2020 Mar 2;15(3):e0229204. doi: 10.1371/journal.pone.0229204. eCollection 2020.,32119675,"
              The human gut microbiome has emerged as a potential key factor involved in the manifestation of physical and mental health. Despite an explosion of cross-disciplinary interest in researching the gut microbiome, there remains to be a gold- …
            "
"
              
                Antidepressant effects of coumarins and their derivatives: A critical analysis of research advances.
              
            ","Akwu NA, Lekhooa M, Deqiang D, Aremu AO.",Eur J Pharmacol. 2023 Oct 5;956:175958. doi: 10.1016/j.ejphar.2023.175958. Epub 2023 Aug 4.,37543158,"
              Coumarins and their derivatives are non-flavonoids polyphenols with diverse pharmacological activities including anti-depressant effects. ...Recent research focuses on their antidepressant effects which targeted cytokines and fibromyalgia. There is a link between the gu …
            "
