Tags,Headers,Asked Timestamps,Modified Timestamps,View Counts,Original Posters,Questions,Answers,Linked Questions,Related Questions
mysql,,,,"
                        Modified
                        3 years, 11 months ago
                    ",,,"
You can use PHP for it ( in order to avoid sql errors, better print queries then execute them later ) : 

$dbHost = 'localhost';
$dbUsername = 'root';
$dbPassword = '';
$dbName = 'database';
$db = new mysqli($dbHost, $dbUsername, $dbPassword, $dbName);
$db->set_charset(""utf8"");

$queries = '';
$query=""SELECT * from table"";
$result = $db->query($query);
$headers = $result->fetch_fields();
foreach($headers as $header) {
        $col = $header->name;

       $queries .= ""UPDATE table SET `"".$col.""` = TRIM(`"".$col.""`) </br>"";
}
echo $queries;


?>
    ",A simple tic-tac-toe program in Visual Studio 2019 causes Windows Defender to report threat,Performance for Timer vs DispatcherTimer
trim,,,,"
                        Viewed
                        3k times
                    ",,,"
If you check virus total it's listed as a different name each time. It's just a false positive. I had the same problem and after enabling it in windows defender it ran fine in Atom/VsCode
    ",C programs getting detected as Malware,What is the most efficient between Timer and managing my own thread?
c,,,,"
                        Asked
                        3 years, 9 months ago
                    ",,,"
Without Plotly Express, you could try the following:

Stop go.Pie() from sorting your data by adding:
sort=False


Define the colours:
fig.update_traces(marker=dict(colors=['blue', 'red', 'green']))



It is not as clean as color_discrete_map though.
    ",Keeping the same legend while changing the palette in go.Pie subplot,Windows Form Timer Vs Single Thread Application
mingw,,,,"
                        Modified
                        1 year, 8 months ago
                    ",,,"
You can actually use the argument marker_colors from go.Pie() to map values (colors) to labels. You just need to create a dict correlating label:color and use it like that:
gender_color = {'Female':'pink', 'Male':'blue', 'Other':'yellow'}

fig = make_subplots(rows=1, cols=3, specs=[[{'type':'domain'}, {'type':'domain'},{'type':'domain'}]])
fig.add_trace(go.Pie(labels=age[""Age_Group""], values=age[""percent""],customdata=age[""ACC_ID""], textinfo='label+percent',insidetextorientation='horizontal', textfont=dict(color='#000000'), marker_colors=px.colors.qualitative.Plotly),1, 1)
fig.add_trace(go.Pie(labels=gender[""Gender""], values=gender[""percent""], customdata=gender[""ACC_ID""],textinfo='label+percent',insidetextorientation='horizontal',textfont=dict(color='#000000'),marker_colors=gender[""Gender""].map(gender_color)),1, 2)
fig.add_trace(go.Pie(labels=sample[""Sample_Type""], values=sample[""percent""], customdata=sample[""ACC_ID""],textinfo='label+percent',texttemplate='%{label}<br>%{percent:.1%f}',insidetextorientation='horizontal',textfont=dict(color='#000000'),marker_colors=px.colors.qualitative.Prism),1, 3)

fig.update_traces(hole=.4, hoverinfo='label+percent', hovertemplate=""<b>%{label}</b><br>Percent: %{percent}<br>Total: %{customdata}<extra></extra>"")

fig.update_layout(
    showlegend=False,
    uniformtext_minsize=14, 
    uniformtext_mode='hide',

    annotations=[dict(text='Age', x=0.13, y=0.5, font_size=20, showarrow=False, font=dict(color=""black"")),
                 dict(text='Gender', x=0.5, y=0.5, font_size=20, showarrow=False,font=dict(color=""black"")),
                 dict(text='Sample', x=0.879, y=0.5, font_size=20, showarrow=False,font=dict(color=""black""))])
plot(fig)

    ",JAXB - can class containment be flattened when marshalling to XML?,Choosing right timer for scheduler
codeblocks,,,,"
                        Viewed
                        13k times
                    ",,,"
It seems that color_discrete_map is what you're after.
You can create a dictionary with the desired tags as keys and corresponding color HEX codes as values.
palette = {""Male"": ""#0064FF"",""Female"":""#FF8FDF"", ""Other"": ""#FFC300""}

Then pass it as a parameter into your pie() chart.
Would love to answer in more details but you need to provide an MRE..
    ",Spring Rest Template and JSON data,Performance of Dispatcher timers in wpf
python,,,,"
                        Asked
                        12 years, 5 months ago
                    ",,,"
EDIT: updated to contain only pertaining information

It's best if you have distinct classes handling ""brands"" and ""brand"" tags. I would create a Brand class, rename BrandList to Brands (to be closer to the XML parts they refer to), and let Brands hold a List<Brand>. Put the proper annotations to both classes and you should be done, e.g.:

@XStreamAlias(""brands"")
class Brands {
  @XStreamImplicit
  List<Brand> brand;
}

@XStreamAlias(""brand"")
class Brand {
  String nodeRef;
  String name;
}


The above code works perfectly when marshalling objects to XML, but fails as you describe when unmarshalling from XML to objects. For that to work fine, you need to tell the marshaller which annotated classes you have:

<bean name=""marshaller"" class=""org.springframework.oxm.xstream.XStreamMarshaller"">
    <property name=""autodetectAnnotations"" value=""true""/>
    <property name=""annotatedClasses"">
        <array>
            <value>com.kipcast.dataModel.drugs.bean.BrandViewList</value>
            <value>com.kipcast.dataModel.drugs.bean.BrandView</value>
        </array>
    </property>
</bean>


I created a sample project where I verify the setup.
    ",,DispatcherTimer and Timer
plotly,,,,"
                        Modified
                        10 years, 11 months ago
                    ",,,"
I solved this problem by using the ArrayList type. So no need to use a fake class to handle the list. It worked for me with something like this (without any annotation used) : 

<bean id=""xstreamMarshaller"" class=""org.springframework.oxm.xstream.XStreamMarshaller"">
    <property name=""aliases"">
        <props>
            <prop key=""brands"">java.util.ArrayList</prop>
            <prop key=""brand"">com.kipcast.dataModel.drugs.bean.BrandView</prop>
        </props>
    </property>
</bean>

    ",,Efficiency of DispatcherTimer versus Thread.Sleep
plotly-dash,,,,"
                        Viewed
                        5k times
                    ",,,,,What is the best approach to schedule events?
java,,,,,,,,,OpenGL + GLEW + MinGW application linking issue
xml,,,,,,,,,OpenGL/GLFW: glfwOpenWindow hanging (barebones application)
spring,,,,,,,,,GLEW fails to initialize
rest,,,,,,,,,OpenGL GLFW window closes as soon as it opens
alfresco,,,,,,,,,mingw fatal error: GL/glew.h: No such file or directory
